neighborhood_id,name,district,speed_peak,speed_offpeak,speed_blended
0,100. YIL,BAĞCILAR,31.69,43.55,37.81
1,15 TEMMUZ,BAĞCILAR,26.5,43.75,34.26
2,15 TEMMUZ,ESENLER,47.88,60.11,54.42
3,19 MAYIS,BÜYÜKÇEKMECE,51.61,70.22,62.14
4,19 MAYIS,KADIKÖY,19.81,36.5,26.77
5,19 MAYIS,ŞİŞLİ,17.64,29.73,23.02
6,50. YIL,SULTANGAZİ,37.64,48.97,42.74
7,75. YIL,SULTANGAZİ,37.98,46.21,40.84
8,ABDURRAHMAN NAFİZ GÜRMAN,GÜNGÖREN,23.92,42.88,33.12
9,ABDURRAHMANGAZİ,SANCAKTEPE,28.4,39.49,33.27
10,ABDURRAHMANGAZİ,SULTANBEYLİ,38.32,59.14,47.54
11,ACARLAR,BEYKOZ,46.23,56.74,50.77
12,ACIBADEM,KADIKÖY,29.77,41.96,34.33
13,ACIBADEM,ÜSKÜDAR,33.62,53.62,41.31
14,ADEM YAVUZ,ÜMRANİYE,22.02,31.38,25.72
15,ADNAN KAHVECİ,BEYLİKDÜZÜ,27.8,44.37,35.7
16,ADNAN MENDERES,ARNAVUTKÖY,45.81,52.47,49.14
17,ADİL,SULTANBEYLİ,54.54,82.38,67.04
18,AHMEDİYE,BÜYÜKÇEKMECE,68.24,72.8,70.7
19,AHMEDİYE,ÜSKÜDAR,23.95,32.93,28.03
20,AHMET YESEVİ,PENDİK,50.94,61.79,56.31
21,AHMET YESEVİ,SULTANBEYLİ,50.42,77.05,61.97
22,AHMETLİ,ŞİLE,70.21,75.67,72.23
23,AKALAN,ÇATALCA,53.14,60.21,56.45
24,AKAT,BEŞİKTAŞ,20.54,31.22,25.1
25,AKBABA,BEYKOZ,56.69,54.21,56.64
26,AKEVLER,ESENYURT,54.87,70.69,62.43
27,AKFIRAT,TUZLA,84.69,76.45,81.88
28,AKINCILAR,GÜNGÖREN,18.22,26.46,21.74
29,AKPINAR,EYÜPSULTAN,18.31,23.52,20.77
30,AKPINAR,SANCAKTEPE,43.24,56.76,49.82
31,AKSARAY,FATİH,25.97,39.61,33.97
32,AKÇABURGAZ,ESENYURT,55.36,63.86,59.28
33,AKÇAKESE,ŞİLE,53.14,60.21,56.45
34,AKÖREN,SİLİVRİ,103.87,91.59,99.11
35,AKŞEMSEDDİN,ESENYURT,26.61,43.01,32.92
36,AKŞEMSETTİN,EYÜPSULTAN,27.27,40.91,32.11
37,AKŞEMSETTİN,FATİH,19.62,33.95,25.55
38,AKŞEMSETTİN,SULTANBEYLİ,43.39,56.93,49.66
