district,avg_rent_per_m2
ADALAR,547.0
ARNAVUTKÖY,240.0
ATAŞEHIR,460.0
AVCILAR,288.0
BAĞCILAR,297.0
BAHÇELIEVLER,377.0
BAKIRKÖY,591.0
BAŞAKŞEHIR,357.0
BAYRAMPAŞA,330.0
BEŞIKTAŞ,592.0
BEYKOZ,356.0
BEYLIKDÜZÜ,289.0
BEYOĞLU,492.0
BÜYÜKÇEKMECE,268.0
ÇATALCA,294.0
ÇEKMEKÖY,364.0
ESENLER,251.0
ESENYURT,228.0
EYÜPSULTAN,418.0
FATIH,330.0
GAZIOSMANPAŞA,294.0
GÜNGÖREN,326.0
KADIKÖY,651.0
KAĞITHANE,415.0
KARTAL,413.0
KÜÇÜKÇEKMECE,393.0
MALTEPE,440.0
PENDIK,324.0
SANCAKTEPE,294.0
SARIYER,590.0
SILIVRI,247.0
SULTANBEYLI,262.0
SULTANGAZI,237.0
ŞILE,375.0
ŞIŞLI,457.0
TUZLA,322.0
ÜMRANIYE,366.0
ÜSKÜDAR,443.0
ZEYTINBURNU,591.0
GAZİOSMANPAŞA,357.0
PENDİK,357.0
BEYLİKDÜZÜ,357.0
ZEYTİNBURNU,357.0
SİLİVRİ,357.0
BEŞİKTAŞ,357.0
SULTANGAZİ,357.0
BAHÇELİEVLER,357.0
FATİH,357.0
SULTANBEYLİ,357.0
ATAŞEHİR,357.0
ŞİŞLİ,357.0
ÜMRANİYE,357.0
BAŞAKŞEHİR,357.0
ŞİLE,357.0
