İlçe,Ortalama_Kira_Bedeli_TL,Metrekare_Kira_Bedeli_TL
Adalar,,547
Arnavutköy,22821,240
Ataşehir,41364,460
Avcılar,31625,288
Bağcılar,28803,297
Bahçelievler,37347,377
Bakırköy,69712,591
Başakşehir,41409,357
Bayrampaşa,30665,330
Beşiktaş,61587,592
Beykoz,43056,356
Beylikdüzü,36182,289
Beyoğlu,40866,492
Büyükçekmece,35855,268
Çatalca,28795,294
Çekmeköy,34951,364
Esenler,22799,251
Esenyurt,21632,228
Eyüpsultan,40138,418
Fatih,26374,330
Gaziosmanpaşa,28211,294
Güngören,35567,326
Kadıköy,71645,651
Kağıthane,33592,415
Kartal,41340,413
Küçükçekmece,34160,393
Maltepe,39584,440
Pendik,33000,324
Sancaktepe,29081,294
Sarıyer,72021,590
Silivri,26923,247
Sultanbeyli,26198,262
Sultangazi,23698,237
Şile,42339,375
Şişli,40694,457
Tuzla,32842,322
Ümraniye,35507,366
Üsküdar,42946,443
Zeytinburnu,59079,591
