Mahalle;Birim Fiyatı (₺/m2);Ort. Değer;Amortisman;Getiri;Yıllık Değişim
Bakırköy;635 ₺/m 2;80.004 ₺;16 yıl;%6,33;%37,41
Beşiktaş;781 ₺/m 2;99.199 ₺;13 yıl;%7,79;%32,16
Beykoz;403 ₺/m 2;53.240 ₺;16 yıl;%6,42;%45,36
Beyoğlu;547 ₺/m 2;61.797 ₺;16 yıl;%6,39;%30,96
Çatalca;263 ₺/m 2;153.866 ₺;19 yıl;%5,19;%15,89
Eyüpsultan;414 ₺/m 2;53.447 ₺;15 yıl;%6,65;%30,07
Fatih;512 ₺/m 2;41.979 ₺;14 yıl;%7,14;%44,08
Gaziosmanpaşa;286 ₺/m 2;31.217 ₺;15 yıl;%6,73;%29,44
Kadıköy;707 ₺/m 2;86.271 ₺;15 yıl;%6,76;%28,57
Kartal;491 ₺/m 2;55.450 ₺;15 yıl;%6,88;%45,44
Sarıyer;686 ₺/m 2;144.659 ₺;15 yıl;%6,65;%20,46
Silivri;280 ₺/m 2;53.177 ₺;18 yıl;%5,44;%21,50
Şile;539 ₺/m 2;81.937 ₺;18 yıl;%5,55;%57,45
Şişli;551 ₺/m 2;79.299 ₺;15 yıl;%6,88;%20,56
Üsküdar;562 ₺/m 2;58.463 ₺;17 yıl;%5,93;%47,01
Zeytinburnu;375 ₺/m 2;51.409 ₺;16 yıl;%6,09;%49,10
Büyükçekmece;432 ₺/m 2;56.192 ₺;14 yıl;%7,19;%43,60
Kağıthane;356 ₺/m 2;46.615 ₺;18 yıl;%5,50;%23,38
Küçükçekmece;316 ₺/m 2;42.394 ₺;16 yıl;%6,08;%36,72
Pendik;382 ₺/m 2;52.750 ₺;16 yıl;%6,40;%33,24
Ümraniye;426 ₺/m 2;55.843 ₺;16 yıl;%6,06;%42,99
Bayrampaşa;319 ₺/m 2;34.763 ₺;17 yıl;%5,93;%29,17
Avcılar;383 ₺/m 2;67.026 ₺;14 yıl;%6,99;%51,26
Bağcılar;274 ₺/m 2;47.909 ₺;19 yıl;%5,31;%19,82
Bahçelievler;385 ₺/m 2;53.923 ₺;15 yıl;%6,64;%44,16
Güngören;378 ₺/m 2;62.370 ₺;16 yıl;%6,41;%31,77
Maltepe;517 ₺/m 2;62.596 ₺;15 yıl;%6,70;%33,13
Sultanbeyli;284 ₺/m 2;55.286 ₺;15 yıl;%6,79;%37,58
Tuzla;404 ₺/m 2;73.950 ₺;16 yıl;%6,34;%21,22
Esenler;263 ₺/m 2;34.190 ₺;15 yıl;%6,52;%24,54
Arnavutköy;254 ₺/m 2;92.430 ₺;16 yıl;%6,39;%35,02
Ataşehir;509 ₺/m 2;69.709 ₺;16 yıl;%6,26;%50,10
Başakşehir;384 ₺/m 2;85.721 ₺;18 yıl;%5,41;%19,96
Beylikdüzü;343 ₺/m 2;75.785 ₺;20 yıl;%5,10;%29,15
Çekmeköy;391 ₺/m 2;49.702 ₺;14 yıl;%7,02;%47,62
Esenyurt;287 ₺/m 2;72.057 ₺;15 yıl;%6,79;%28,68
Sancaktepe;301 ₺/m 2;59.033 ₺;14 yıl;%6,97;%34,92
Sultangazi;238 ₺/m 2;40.891 ₺;18 yıl;%5,48;%31,36
Adalar;522 ₺/m 2;60.691 ₺;19 yıl;%5,34;%19,05
