İlçe;Mahalle;Birim Fiyatı (₺/m2);Ort. Değer;Amortisman;Getiri;Yıllık Değişim
Adalar;Burgazada;528 ₺/m 2;60.691 ₺;19 yıl;%5,34;%19,05
Adalar;Heybeliada;581 ₺/m 2;- ₺;-;-;-
Adalar;Kınalıada;414 ₺/m 2;- ₺;-;-;-
Adalar;Maden;578 ₺/m 2;- ₺;-;-;-
Adalar;Nizam;509 ₺/m 2;- ₺;-;-;-
Arnavutköy;Adnan Menderes;186 ₺/m 2;20.495 ₺;19 yıl;%5,33;%25,32
Arnavutköy;Anadolu;228 ₺/m 2;35.265 ₺;16 yıl;%6,15;%46,48
Arnavutköy;Arnavutköy Merkez;255 ₺/m 2;45.580 ₺;19 yıl;%5,34;%17,76
Arnavutköy;Atatürk;247 ₺/m 2;48.836 ₺;14 yıl;%7,33;%89,77
Arnavutköy;Baklalı;1.095 ₺/m 2;- ₺;-;-;-
Arnavutköy;Balaban;-;-;-;-;-
Arnavutköy;Boğazköy İstiklal;170 ₺/m 2;35.287 ₺;17 yıl;%6,02;%7,94
Arnavutköy;Bolluca;193 ₺/m 2;92.809 ₺;22 yıl;%4,47;%1,93
Arnavutköy;Boyalık;-;-;-;-;-
Arnavutköy;Çilingir;-;-;-;-;-
Arnavutköy;Deliklikaya;243 ₺/m 2;575.036 ₺;10 yıl;%10,08;%19,06
Arnavutköy;Dursunköy;357 ₺/m 2;23.888 ₺;-;-;%138,42
Arnavutköy;Durusu;-;-;-;-;-
Arnavutköy;Fatih;264 ₺/m 2;96.524 ₺;-;-;%47,52
Arnavutköy;Hacımaşlı;-;-;-;-;-
Arnavutköy;Hadımköy;357 ₺/m 2;216.366 ₺;19 yıl;%5,24;%67,94
Arnavutköy;Haraççı;239 ₺/m 2;54.988 ₺;15 yıl;%6,65;%28,87
Arnavutköy;Hastane;292 ₺/m 2;108.298 ₺;16 yıl;%6,21;%28,78
Arnavutköy;Hicret;709 ₺/m 2;119.863 ₺;-;-;%461,25
Arnavutköy;İmrahor;166 ₺/m 2;19.124 ₺;24 yıl;%4,12;%37,92
Arnavutköy;İslambey;215 ₺/m 2;30.080 ₺;22 yıl;%4,51;%33,43
Arnavutköy;Karaburun;283 ₺/m 2;34.569 ₺;21 yıl;%4,69;%23,66
Arnavutköy;Karlıbayır;258 ₺/m 2;37.962 ₺;14 yıl;%7,15;%26,75
Arnavutköy;Mareşal Fevzi Çakmak;184 ₺/m 2;68.399 ₺;43 yıl;%2,33;%0,73
Arnavutköy;Mavigöl;227 ₺/m 2;75.567 ₺;26 yıl;%3,90;%14,77
Arnavutköy;Mehmet Akif Ersoy;260 ₺/m 2;118.965 ₺;12 yıl;%8,12;%75,70
Arnavutköy;Mustafa Kemal Paşa;279 ₺/m 2;- ₺;-;-;-
Arnavutköy;Nene Hatun;198 ₺/m 2;42.265 ₺;26 yıl;%3,83;%23,81
