||Sütunlar|
Satırlar||Belediye, Köy Ve Mahalle Nüfusları|
||Ölçüm bazında|
|||
|||
2025|İstanbul(Adalar/Adalar Bel./Burgazada Mah.)-40139|1713.0|
|İstanbul(Adalar/Adalar Bel./Heybeliada Mah.)-40142|4661.0|
|İstanbul(Adalar/Adalar Bel./Kınalıada Mah.)-40143|2044.0|
|İstanbul(Adalar/Adalar Bel./Maden Mah.)-40140|5005.0|
|İstanbul(Adalar/Adalar Bel./Nizam Mah.)-40141|4066.0|
|İstanbul(Arnavutköy/Arnavutköy Bel./Adnan Menderes Mah.)-40490|4728.0|
|İstanbul(Arnavutköy/Arnavutköy Bel./Anadolu Mah.)-99359|49342.0|
|İstanbul(Arnavutköy/Arnavutköy Bel./Arnavutköy Merkez Mah.)-40478|23571.0|
|İstanbul(Arnavutköy/Arnavutköy Bel./Atatürk Mah.)-40482|11063.0|
|İstanbul(Arnavutköy/Arnavutköy Bel./Baklalı Mah.)-191981|873.0|
|İstanbul(Arnavutköy/Arnavutköy Bel./Balaban Mah.)-191983|454.0|
|İstanbul(Arnavutköy/Arnavutköy Bel./Boğazköy İstiklal Mah.)-40483|13133.0|
|İstanbul(Arnavutköy/Arnavutköy Bel./Bolluca Mah.)-40487|8496.0|
|İstanbul(Arnavutköy/Arnavutköy Bel./Boyalık Mah.)-191985|856.0|
|İstanbul(Arnavutköy/Arnavutköy Bel./Çilingir Mah.)-40494|1174.0|
|İstanbul(Arnavutköy/Arnavutköy Bel./Deliklikaya Mah.)-40910|8983.0|
|İstanbul(Arnavutköy/Arnavutköy Bel./Dursunköy Mah.)-40911|470.0|
|İstanbul(Arnavutköy/Arnavutköy Bel./Durusu Mah.)-40915|743.0|
|İstanbul(Arnavutköy/Arnavutköy Bel./Fatih Mah.)-40495|3995.0|
|İstanbul(Arnavutköy/Arnavutköy Bel./Hacımaşlı Mah.)-191975|693.0|
|İstanbul(Arnavutköy/Arnavutköy Bel./Hadımköy Mah.)-40913|27984.0|
|İstanbul(Arnavutköy/Arnavutköy Bel./Haraççı Mah.)-40489|12042.0|
|İstanbul(Arnavutköy/Arnavutköy Bel./Hastane Mah.)-40912|11483.0|
|İstanbul(Arnavutköy/Arnavutköy Bel./Hicret Mah.)-40486|4454.0|
|İstanbul(Arnavutköy/Arnavutköy Bel./İmrahor Mah.)-40481|12184.0|
|İstanbul(Arnavutköy/Arnavutköy Bel./İslambey Mah.)-40479|27838.0|
|İstanbul(Arnavutköy/Arnavutköy Bel./Karaburun Mah.)-191987|2018.0|
|İstanbul(Arnavutköy/Arnavutköy Bel./Karlıbayır Mah.)-40488|11576.0|
|İstanbul(Arnavutköy/Arnavutköy Bel./Mareşal Fevzi Çakmak Mah.)-40493|7423.0|
|İstanbul(Arnavutköy/Arnavutköy Bel./Mavigöl Mah.)-40485|10633.0|
|İstanbul(Arnavutköy/Arnavutköy Bel./Mehmet Akif Ersoy Mah.)-40491|8132.0|
|İstanbul(Arnavutköy/Arnavutköy Bel./Mustafa Kemal Paşa Mah.)-99358|18855.0|
|İstanbul(Arnavutköy/Arnavutköy Bel./Nenehatun Mah.)-99357|11868.0|
|İstanbul(Arnavutköy/Arnavutköy Bel./Ömerli Mah.)-40906|7619.0|
|İstanbul(Arnavutköy/Arnavutköy Bel./Sazlıbosna Mah.)-40907|1096.0|
|İstanbul(Arnavutköy/Arnavutköy Bel./Taşoluk Mah.)-40492|12382.0|
|İstanbul(Arnavutköy/Arnavutköy Bel./Tayakadın Mah.)-191977|3688.0|
|İstanbul(Arnavutköy/Arnavutköy Bel./Terkos Mah.)-40914|933.0|
|İstanbul(Arnavutköy/Arnavutköy Bel./Yassıören Mah.)-191989|1057.0|
|İstanbul(Arnavutköy/Arnavutköy Bel./Yavuz Selim Mah.)-40480|13655.0|
|İstanbul(Arnavutköy/Arnavutköy Bel./Yeniköy Mah.)-191979|1585.0|
|İstanbul(Arnavutköy/Arnavutköy Bel./Yeşilbayır Mah.)-40908|631.0|
|İstanbul(Arnavutköy/Arnavutköy Bel./Yunus Emre Mah.)-40484|20759.0|
|İstanbul(Ataşehir/Ataşehir Bel./Aşıkveysel Mah.)-98687|12389.0|
|İstanbul(Ataşehir/Ataşehir Bel./Atatürk Mah.)-99749|33451.0|
|İstanbul(Ataşehir/Ataşehir Bel./Barbaros Mah.)-40527|30487.0|
|İstanbul(Ataşehir/Ataşehir Bel./Esatpaşa Mah.)-40793|32949.0|
|İstanbul(Ataşehir/Ataşehir Bel./Ferhatpaşa Mah.)-40577|20310.0|
|İstanbul(Ataşehir/Ataşehir Bel./Fetih Mah.)-40795|11476.0|
|İstanbul(Ataşehir/Ataşehir Bel./İçerenköy Mah.)-40530|69112.0|
|İstanbul(Ataşehir/Ataşehir Bel./İnönü Mah.)-40534|30860.0|
|İstanbul(Ataşehir/Ataşehir Bel./Kayışdağı Mah.)-40533|41203.0|
|İstanbul(Ataşehir/Ataşehir Bel./Küçükbakkalköy Mah.)-40531|29413.0|
|İstanbul(Ataşehir/Ataşehir Bel./Mevlana Mah.)-99516|17403.0|
|İstanbul(Ataşehir/Ataşehir Bel./Mimar Sinan Mah.)-99519|9591.0|
|İstanbul(Ataşehir/Ataşehir Bel./Mustafa Kemal Mah.)-40740|13509.0|
|İstanbul(Ataşehir/Ataşehir Bel./Örnek Mah.)-40816|27070.0|
|İstanbul(Ataşehir/Ataşehir Bel./Yeni Çamlıca Mah.)-40746|12583.0|
|İstanbul(Ataşehir/Ataşehir Bel./Yenisahra Mah.)-40526|9361.0|
|İstanbul(Ataşehir/Ataşehir Bel./Yenişehir Mah.)-99517|10958.0|
|İstanbul(Avcılar/Avcılar Bel./Ambarlı Mah.)-40146|32888.0|
|İstanbul(Avcılar/Avcılar Bel./Cihangir Mah.)-40148|60632.0|
|İstanbul(Avcılar/Avcılar Bel./Denizköşkler Mah.)-40147|39439.0|
|İstanbul(Avcılar/Avcılar Bel./Firuzköy Mah.)-40152|24099.0|
|İstanbul(Avcılar/Avcılar Bel./Gümüşpala Mah.)-40151|36857.0|
|İstanbul(Avcılar/Avcılar Bel./Merkez Mah.)-40145|26592.0|
|İstanbul(Avcılar/Avcılar Bel./Mustafa Kemalpaşa Mah.)-40150|45252.0|
|İstanbul(Avcılar/Avcılar Bel./Tahtakale Mah.)-40154|68599.0|
|İstanbul(Avcılar/Avcılar Bel./Üniversite Mah.)-40149|32302.0|
|İstanbul(Avcılar/Avcılar Bel./Yeşilkent Mah.)-40153|74003.0|
|İstanbul(Bağcılar/Bağcılar Bel./100. Yıl Mah.)-40176|44925.0|
|İstanbul(Bağcılar/Bağcılar Bel./15 Temmuz Mah.)-40169|49634.0|
|İstanbul(Bağcılar/Bağcılar Bel./Bağlar Mah.)-40155|17077.0|
|İstanbul(Bağcılar/Bağcılar Bel./Barbaros Mah.)-40157|19786.0|
|İstanbul(Bağcılar/Bağcılar Bel./Çınar Mah.)-40163|32526.0|
|İstanbul(Bağcılar/Bağcılar Bel./Demirkapı Mah.)-40171|54601.0|
|İstanbul(Bağcılar/Bağcılar Bel./Fatih Mah.)-40172|39414.0|
|İstanbul(Bağcılar/Bağcılar Bel./Fevzi Çakmak Mah.)-40173|32776.0|
|İstanbul(Bağcılar/Bağcılar Bel./Göztepe Mah.)-40175|40178.0|
|İstanbul(Bağcılar/Bağcılar Bel./Güneşli Mah.)-40168|44175.0|
|İstanbul(Bağcılar/Bağcılar Bel./Hürriyet Mah.)-40156|24973.0|
|İstanbul(Bağcılar/Bağcılar Bel./İnönü Mah.)-40159|22370.0|
|İstanbul(Bağcılar/Bağcılar Bel./Kazım Karabekir Mah.)-40158|26441.0|
|İstanbul(Bağcılar/Bağcılar Bel./Kemalpaşa Mah.)-40174|31131.0|
|İstanbul(Bağcılar/Bağcılar Bel./Kirazlı Mah.)-40166|39023.0|
