delta,repeat,jaccard,n_open_dcs,objective
0.05,0,0.925072,333,365998.93
0.05,1,0.936232,333,364423.35
0.05,2,0.881356,331,366590.1
0.05,3,0.956012,332,365668.94
0.05,4,0.941691,331,366069.29
0.05,5,0.933526,334,367003.77
0.05,6,0.894886,332,366917.57
0.05,7,0.900568,334,366379.64
0.05,8,0.936416,335,367083.21
0.05,9,0.897727,333,365913.63
0.05,10,0.976331,333,366028.76
0.05,11,0.919771,335,367119.41
0.05,12,0.900285,332,364650.55
0.05,13,0.91954,333,367331.44
0.05,14,0.958824,331,364666.3
0.05,15,0.936232,333,365178.07
0.05,16,0.930435,331,367335.66
0.05,17,0.944928,336,366464.06
0.05,18,0.905983,334,365378.34
0.05,19,0.91954,333,365647.02
0.05,20,0.939306,336,366254.48
0.05,21,0.91954,333,366936.8
0.05,22,0.936232,333,366165.38
0.05,23,0.933718,336,367165.51
0.05,24,0.892958,337,367878.49
0.05,25,0.962099,338,368002.67
0.05,26,0.933526,334,366039.0
0.05,27,0.921739,328,365678.05
0.05,28,0.927954,334,366057.34
0.05,29,0.916667,332,364883.33
0.1,0,0.884507,334,367529.89
0.1,1,0.927326,328,367360.02
0.1,2,0.883853,330,365014.69
0.1,3,0.927746,332,366688.54
0.1,4,0.932945,328,364679.76
0.1,5,0.878873,332,364699.95
0.1,6,0.90625,336,365472.05
0.1,7,0.924638,329,365029.28
0.1,8,0.897143,329,365736.35
0.1,9,0.894587,330,365498.41
0.1,10,0.876056,331,365818.36
0.1,11,0.906516,338,366790.49
0.1,12,0.913793,331,365217.21
0.1,13,0.879213,334,365392.03
0.1,14,0.917143,336,366875.56
0.1,15,0.911175,332,365795.95
0.1,16,0.889205,330,366163.92
0.1,17,0.90085,336,366032.26
0.1,18,0.877841,326,364905.34
0.1,19,0.868347,332,366344.2
0.1,20,0.916905,334,366095.39
0.1,21,0.928161,336,367344.66
0.1,22,0.895184,334,366884.78
0.1,23,0.905714,332,364912.38
0.1,24,0.897143,329,366603.23
0.1,25,0.911681,336,366644.53
0.1,26,0.883853,330,364263.22
0.1,27,0.902857,331,365737.01
0.1,28,0.889518,332,366513.6
0.1,29,0.944767,334,365839.59
0.2,0,0.857939,332,364862.08
0.2,1,0.831492,328,364729.31
0.2,2,0.839779,331,365092.28
0.2,3,0.832877,334,366494.1
0.2,4,0.855956,335,365599.52
0.2,5,0.844444,329,365301.17
0.2,6,0.84022,333,367463.06
0.2,7,0.788204,332,365282.51
0.2,8,0.856749,339,364738.14
0.2,9,0.832869,323,362569.98
0.2,10,0.858726,336,363757.6
0.2,11,0.852778,332,365084.79
0.2,12,0.850416,333,365309.48
0.2,13,0.882353,337,367886.49
0.2,14,0.844875,331,362861.35
0.2,15,0.845304,333,363952.71
0.2,16,0.855153,331,364557.61
0.2,17,0.853186,334,365900.49
0.2,18,0.832418,332,365373.47
0.2,19,0.841226,326,363004.49
0.2,20,0.836565,328,362683.95
0.2,21,0.866295,335,364653.97
0.2,22,0.870787,331,365176.06
0.2,23,0.813008,334,364291.06
0.2,24,0.80163,328,364983.14
0.2,25,0.817935,334,366876.72
0.2,26,0.836565,328,364678.73
0.2,27,0.876404,333,365960.58
0.2,28,0.842541,332,363278.24
0.2,29,0.831492,328,365192.12
0.3,0,0.769841,334,363983.68
0.3,1,0.787634,330,362385.23
0.3,2,0.753316,326,361999.81
0.3,3,0.767196,333,363195.69
0.3,4,0.777778,337,364129.52
0.3,5,0.822888,334,362331.24
0.3,6,0.783422,332,364650.67
0.3,7,0.791328,326,362250.42
0.3,8,0.827298,321,363740.38
0.3,9,0.76455,332,362662.7
0.3,10,0.820652,335,363289.97
0.3,11,0.81044,324,363849.75
0.3,12,0.805479,324,365414.0
0.3,13,0.790323,331,365014.64
0.3,14,0.797297,330,363018.25
0.3,15,0.797297,330,362117.64
0.3,16,0.778667,332,362842.99
0.3,17,0.789894,338,365435.73
0.3,18,0.786486,326,363787.15
0.3,19,0.828804,338,363401.85
0.3,20,0.812155,321,363074.57
0.3,21,0.792453,330,363509.0
0.3,22,0.808108,334,364628.64
0.3,23,0.767196,333,364253.27
0.3,24,0.819672,331,366172.75
0.3,25,0.80163,328,364258.7
0.3,26,0.755263,332,365199.39
0.3,27,0.804878,331,365147.74
0.3,28,0.762667,326,362680.26
0.3,29,0.804878,331,362007.44
